986	50	tomorrow	
987	50	wake	
988	49	case	
989	49	certainly	
990	49	gluin	
991	49	haven	
992	49	history	
993	49	iron	
994	49	pool	
995	49	presently	
996	49	probably	
997	49	seat	
998	49	sing	
999	49	southwards	
1000	49	stirred	
1001	49	whose	
1002	48	amid	
1003	48	blow	
1004	48	bound	
1005	48	downs	
1006	48	dusk	
1007	48	entered	
1008	48	especially	
1009	48	ford	
1010	48	listen	
1011	48	mile	
1012	48	mithrandir	
1013	48	ponies	
1014	48	ruffians	
1015	48	shagrat	
1016	48	sheer	
1017	48	steadily	
1018	48	stop	
1019	48	weariness	
1020	48	whispered	
1021	48	wings	
1022	47	begin	
1023	47	carried	
1024	47	cries	
1025	47	dwell	
1026	47	flowers	
1027	47	horns	
1028	47	kill	
1029	47	leaving	
1030	47	listened	
1031	47	sharp	
1032	47	somehow	
1033	47	stared	
1034	47	sunlight	
1035	47	surprise	
1036	47	touch	
1037	47	weapons	
1038	46	arch	
1039	46	bill	
1040	46	crawled	
1041	46	escaped	
1042	46	feared	
1043	46	foes	
1044	46	gleam	
1045	46	grief	
1046	46	healing	
1047	46	horsemen	
1048	46	misty	
1049	46	sad	
1050	46	smiled	
1051	46	sooner	
1052	46	twenty	
1053	46	weather	
1054	45	breast	
1055	45	brief	
1056	45	chill	
1057	45	fact	
1058	45	failed	
1059	45	farmer	
1060	45	flying	
1061	45	gamgee	
1062	45	keen	
1063	45	knife	
1064	45	lane	
1065	45	noon	
1066	45	party	
1067	45	rope	
1068	45	southward	
1069	45	today	
1070	45	winter	
1071	45	wisdom	
1072	45	wrong	
1073	45	wrought	
1074	44	beast	
1075	44	beasts	
1076	44	dread	
1077	44	haldir	
1078	44	holes	
1079	44	paused	
1080	44	possible	
1081	44	service	
1082	44	shook	
1083	44	sort	
1084	44	stretched	
1085	44	stroke	
1086	44	ten	
1087	44	thoughts	
1088	44	wanted	
1089	43	children	
1090	43	enter	
1091	43	following	
1092	43	hedge	
1093	43	level	
1094	43	loomed	
1095	43	meal	
1096	43	order	
1097	43	orders	
1098	43	sang	
1099	43	single	
1100	43	start	
1101	42	aloud	
1102	42	bearer	
1103	42	bow	
1104	42	comfort	
1105	42	crying	
1106	42	dol	
1107	42	driven	
1108	42	fires	
1109	42	gleamed	
1110	42	height	
1111	42	hither	
1112	42	keeping	
1113	42	lower	
1114	42	mirkwood	
1115	42	mists	
1116	42	remain	
1117	42	remembered	
1118	42	sense	
1119	42	shot	
1120	42	wore	
1121	41	able	
1122	41	arrow	
1123	41	behold	
1124	41	borne	
1125	41	brink	
1126	41	celeborn	
1127	41	deeper	
1128	41	different	
1129	41	dry	
1130	41	heir	
1131	41	lothlurien	
1132	41	main	
1133	41	pace	
1134	41	sank	
1135	41	showed	
1136	41	spears	
1137	41	stairs	
1138	41	wolves	
1139	41	wrath	
1140	40	count	
1141	40	crack	
1142	40	dale	
1143	40	expect	
1144	40	fashion	
1145	40	fine	
1146	40	guide	
1147	40	hide	
1148	40	hiding	
1149	40	maggot	
1150	40	meant	
1151	40	n	
1152	40	rang	
1153	40	real	
1154	40	ridden	
1155	40	ridge	
1156	40	space	
1157	40	staring	
1158	40	teeth	
1159	40	view	
1160	40	waited	
1161	40	woke	
1162	39	banks	
1163	39	barrow	
1164	39	belt	
1165	39	bombadil	
1166	39	calling	
1167	39	cotton	
1168	39	cruel	
1169	39	edoras	
1170	39	ent	
1171	39	flowing	
1172	39	force	
1173	39	gift	
1174	39	glass	
1175	39	grim	
1176	39	hearing	
1177	39	hoped	
1178	39	lives	
1179	39	marched	
1180	39	oh	
1181	39	perilous	
1182	39	pools	
1183	39	rule	
1184	39	sting	
1185	39	strangers	
1186	39	threw	
1187	39	vain	
1188	39	willow	
1189	38	blowing	
1190	38	break	
1191	38	dared	
1192	38	difficult	
1193	38	fought	
1194	38	gear	
1195	38	harm	
1196	38	hideous	
1197	38	holding	
1198	38	ithilien	
1199	38	laughing	
1200	38	marshes	
1201	38	outer	
1202	38	pack	
1203	38	questions	
1204	38	rocks	
1205	38	roused	
1206	38	signs	
